verb	tr	pass	trpt	passpt	apass	apasspt	inpt	in	sfin	sfinpt	quote	quotept	npcomp	passcomp	npcomppt	passcomppt	inf	other	x	i	TOTAL
hesitate	1	0	0	0	0	0	0	116	0	0	6	0	0	0	0	0	22	0	5	0	150
hire	73	30	0	4	6	2	0	6	0	0	0	0	39	11	0	0	0	0	29	0	200
hum	17	0	0	0	0	0	0	35	0	0	9	0	0	0	0	0	0	0	4	0	65
hunt	71	10	7	1	1	1	2	86	0	0	0	0	0	0	0	0	0	1	20	0	200
hurry	2	1	3	1	6	0	46	123	0	0	0	0	0	0	0	0	4	0	14	0	200
imitate	66	5	0	0	3	0	0	6	0	0	1	0	0	0	0	0	0	0	2	0	83
imply	67	19	0	0	13	0	0	19	52	0	0	0	1	5	0	0	0	3	21	0	200
impress	50	75	0	0	67	1	0	1	2	0	0	0	0	0	0	0	0	0	4	0	200
include	110	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	122
indicate	70	18	0	0	14	0	0	7	81	0	0	0	3	0	0	0	0	0	0	0	193
injure	35	73	0	0	21	0	0	4	0	0	0	0	0	0	0	0	0	0	67	0	200
insert	38	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	40
investigate	123	43	0	0	4	0	0	17	0	0	0	0	0	0	0	0	0	0	13	0	200
invite	49	42	5	7	3	0	0	1	0	0	0	0	56	35	0	0	0	0	2	0	200
judge	69	53	0	0	1	0	0	23	13	0	6	0	11	12	0	0	0	0	12	0	200
jump	12	0	0	0	0	0	56	121	0	0	0	0	0	0	0	0	0	1	10	0	200
keep	95	34	1	2	2	0	3	22	0	0	0	0	0	0	0	0	0	41	0	0	200
kick	95	11	19	2	0	2	6	53	0	0	0	0	0	0	0	0	0	0	12	0	200
kill	56	47	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	105
knit	21	6	0	0	3	0	0	11	0	0	0	0	0	0	0	0	0	0	39	0	80
know	15	5	0	0	0	0	0	0	25	0	0	0	2	14	0	0	0	1	3	0	65
